"GB001","GL","BK","VAR PUTIH","LG","37.5%","5.05"
"GB002","GL","BK","VAR PUTIH","LG","37.5%","5.04"
"GB003","GL","BK","VAR PUTIH","UBS","37.5%","5.11"
"GB004","GL","BK","VAR PUTIH","UBS","37.5%","5.05"
"KF002","KL","FY",NULL,"UBS","37.5%","5.1"
"KF003","KL","FY",NULL,"UBS","37.5%","10.14"
"KF004","KL","FY",NULL,"UBS","37.5%","6.94"
"KF005","KL","FY",NULL,"UBS","37.5%","7.92"
"KF006","KL","FY",NULL,"UBS","37.5%","4.98"
"KF007","KL","FY",NULL,"UBS","37.5%","4.08"
"KF008","KL","FY",NULL,"UBS","37.5%","3"
"KF009","KL","FY",NULL,"UBS","37.5%","4.08"
"KF011","KL","FY",NULL,"UBS","37.5%","2"
"KF014","KL","FY",NULL,"UBS","37.5%","8.13"
"KF015","KL","FY",NULL,"UBS","37.5%","2"
"KF016","KL","FY",NULL,"UBS","37.5%","4.11"
"KF017","KL","FY",NULL,"UBS","37.5%","3.12"
"KF018","KL","FY",NULL,"UBS","37.5%","6.09"
"KF019","KL","FY",NULL,"UBS","37.5%","3.12"
"KF021","KL","FY",NULL,"UBS","37.5%","1.59"
"KF022","KL","FY",NULL,"UBS","37.5%","3.05"
"KF023","KL","FY",NULL,"UBS","37.5%","3.09"
"KF026","KL","FY",NULL,"UBS","37.5%","1.57"
"KH001","KL","HL",NULL,"UBS","42%","6.11"
"KH003","KL","HL",NULL,"UBS","42%","7.05"
"KH005","KL","HL",NULL,"UBS","42%","2.06"
"KH006","KL","HL",NULL,"UBS","42%","6.16"
"KH007","KL","HL",NULL,"UBS","42%","2.11"
"KM003","KL","MIL",NULL,"UBS","42%","5.12"
"KM006","KL","MIL",NULL,"UBS","42%","6.12"
"KM008","KL","MIL",NULL,"UBS","42%","3.03"
"KM009","KL","MIL",NULL,"UBS","42%","5.06"
"KM010","KL","MIL",NULL,"UBS","42%","4"
"KM011","KL","MIL",NULL,"UBS","42%","5.06"
"KM012","KL","MIL",NULL,"UBS","42%","4.08"
"KM014","KL","MIL",NULL,"UBS","42%","4"
"KM015","KL","MIL",NULL,"UBS","42%","8.17"
"KM017","KL","MIL",NULL,"UBS","42%","2.97"
"KM018","KL","MIL",NULL,"UBS","42%","7.04"
"KM020","KL","MIL",NULL,"UBS","42%","10.06"
"KM024","KL","MIL",NULL,"UBS","42%","3.05"
"KM026","KL","MIL",NULL,"UBS","42%","9.84"
"KR004","KL","RO",NULL,"UBS","42%","7.12"
"KR005","KL","RO",NULL,"UBS","42%","5.05"
"KR006","KL","RO",NULL,"UBS","42%","3.08"
"KR007","KL","RO",NULL,"UBS","42%","9.98"
"KR008","KL","RO",NULL,"UBS","42%","7.98"
"KR009","KL","RO",NULL,"UBS","42%","10.07"
"KR010","KL","RO",NULL,"UBS","42%","7.04"
"KR011","KL","RO",NULL,"UBS","42%","5.97"
"KR013","KL","RO",NULL,"UBS","42%","5.9"
"KR015","KL","RO",NULL,"UBS","42%","4.13"
"KR016","KL","RO",NULL,"UBS","42%","3.14"
"KS001","KL","SAN",NULL,"UBS","42%","3.96"
"KS002","KL","SAN",NULL,"UBS","42%","5.03"
"KS003","KL","SAN",NULL,"UBS","42%","2.9"
"KS004","KL","SAN",NULL,"UBS","42%","5.02"
"KS006","KL","SAN",NULL,"UBS","42%","4.18"
"KS007","KL","SAN",NULL,"UBS","42%","3.08"
"KS008","KL","SAN",NULL,"UBS","42%","8.03"
"KS009","KL","SAN","SDG","UBS","42%","9.93"
"KS012","KL","SAN",NULL,"UBS","42%","2.05"
"KS014","KL","SAN","SDG","UBS","42%","6.04"
"KS015","KL","SAN",NULL,"UBS","42%","2.88"
"KS016","KL","SAN",NULL,"UBS","42%","8"
"KS017","KL","SAN",NULL,"UBS","42%","11.9"
"KS018","KL","SAN",NULL,"UBS","42%","2.03"
"KS019","KL","SAN","SDG","UBS","42%","7.1"
"KS020","KL","SAN","SDG","UBS","42%","5.06"
"KS021","KL","SAN","SDG","UBS","42%","4.84"
"KS026","KL","SAN",NULL,"UBS","42%","6.87"
"KS028","KL","SAN",NULL,"UBS","42%","5.11"
"KS029","KL","SAN",NULL,"UBS","42%","2.99"
"KS032","KL","SAN",NULL,"UBS","42%","2"
"KS033","KL","SAN",NULL,"UBS","42%","7.08"
"KS034","KL","SAN","SDG","UBS","42%","6.08"
"GB005","GL","BK","VAR KOTAK","HWT","37.5%","4.43"
"GB006","GL","BK","VAR KOTAK","HWT","37.5%","4.64"
"GB007","GL","BK","VAR KOTAK","HWT","37.5%","4.52"
"GB009","GL","BK","VAR BAMBU PTH","UBS","37.5%","3.33"
"GB010","GL","BK","VAR BAMBU PTH","UBS","37.5%","3.36"
"GB011","GL","BK","VAR BAMBU PTH","UBS","37.5%","3.2"
"GB012","GL","BK","VAR PUTIH","UBS","37.5%","5.25"
"GB013","GL","BK","VAR PUTIH","UBS","37.5%","5.23"
"GB014","GL","BK","VAR BTG","UBS","37.5%","5.08"
"GB015","GL","BK","VAR BUNGA","UBS","37.5%","10.06"
"IB001","GLB","BK","VAR CAT HK","LG","37.5%","2.08"
"IB002","GLB","BK","VAR CAT HK","LG","37.5%","2.12"
"IB003","GLB","BK","VAR CAT HK","LG","37.5%","2.12"
"IB004","GLB","BK","VAR CAT HK","LG","37.5%","1.45"
"IB005","GLB","BK","VAR CAT DORA","LG","37.5%","1.51"
"IB006","GLB","BK","VAR CAT HK","LG","37.5%","1.54"
"IB007","GLB","BK","VAR CAT HK","LG","37.5%","1.6"
"IB008","GLB","BK","VAR CAT DORA","LG","37.5%","2.07"
"IB009","GLB","BK","VAR CAT BONEKA","LG","37.5%","1.52"
"IB010","GLB","BK","VAR CAT STROBERI","LG","37.5%","1.54"
"IB011","GLB","BK","VAR CAT 2AD","LG","37.5%","2.19"
"IB012","GLB","BK","VAR CAT AD BLT","LG","37.5%","2.05"
"IB013","GLB","BK","VAR CAT 2AD BTG","LG","37.5%","2.07"
"IB014","GLB","BK","VAR CAT 2AD BTG","LG","37.5%","2.1"
"IB015","GLB","BK","VAR CAT AD BLT","LG","37.5%","2.11"
"IB016","GLB","BK","VAR PTH+AD PTH PINK","LG","37.5%","2.04"
"IB017","GLB","BK","VAR PTH+AD BUNGA","LG","37.5%","2.06"
"IB018","GLB","BK","VAR PTH+AD BUNGA","LG","37.5%","2.13"
"IB019","GLB","BK","VAR MAHKOTA 5AD","LG","37.5%","2.07"
